Analyte,Fold Change (Positive/Negative),p-value,Positive Median,Negative Median,log2 Fold Change,#NAME?,Statistical test
LRRC4C.9369.174,0.800790709,0.000401643,8.871497637,9.192000495,-0.320502858,3.396159903,Linear Model
THBS2.3339.33,0.581134908,0.000404078,14.01977216,14.80282714,-0.783054978,3.393534345,Linear Model
SHBG.4929.55,0.590072573,0.000404087,11.65305925,12.41409495,-0.761035693,3.393524693,Linear Model
BIRC7.15504.39,1.079996526,0.000405421,9.72313707,9.612110399,0.111026671,3.39209376,Linear Model
FCGR1A.3312.64,1.336748163,0.000408461,8.872749075,8.454021381,0.418727694,3.388849432,Linear Model
S100P.9926.4,0.841051505,0.000410466,11.3643337,11.61406765,-0.249733943,3.386723087,Linear Model
FGF5.3065.65,1.250443102,0.00041704,9.20791998,8.885480567,0.322439413,3.379822605,Linear Model
PSAPL1.8814.33,0.683855854,0.000421265,10.25736354,10.80559938,-0.548235835,3.375444825,Linear Model
CLMP.10440.26,0.689096253,0.00042223,9.866254864,10.40347745,-0.537222583,3.374450441,Linear Model
NOP16.18228.30,1.18692824,0.000425283,9.424435546,9.177202831,0.247232714,3.371321666,Linear Model
COL28A1.10702.1,0.658337754,0.000435614,11.699221,12.30232116,-0.603100161,3.360898152,Linear Model
C1GALT1C1.5735.54,1.180944126,0.000435979,9.913639213,9.673698504,0.239940708,3.360534875,Linear Model
WIF1.16070.7,0.781295513,0.000435997,10.37481094,10.7308707,-0.356059765,3.360516952,Linear Model
LCP1.17231.1,1.239066671,0.000437786,15.39649748,15.08724366,0.309253818,3.358738323,Linear Model
INSR.3448.13,0.7067021,0.000439175,12.42309817,12.92392406,-0.500825898,3.357362277,Linear Model
FAM3B.9177.6,0.650458809,0.000441566,12.39648393,13.01695433,-0.620470395,3.355004624,Linear Model
SERPINA5.3389.7,0.654834506,0.00044918,14.49712413,15.10792188,-0.61079775,3.347579523,Linear Model
TINAGL1.11192.168,1.346288761,0.000449655,11.89918119,11.4701933,0.428987881,3.34712065,Linear Model
PIANP.9599.6,0.658630116,0.000449931,10.00113219,10.6035918,-0.602459613,3.346853879,Linear Model
RBM3.12747.89,0.691157292,0.000450065,14.18736082,14.72027484,-0.532914021,3.346724947,Linear Model
C4A.C4B.2182.54,0.780364586,0.000464201,15.47857657,15.83635636,-0.357779787,3.333294115,Linear Model
NMI.17512.2,1.457620846,0.000476475,14.95175618,14.40814069,0.543615497,3.321959727,Linear Model
SETMAR.12462.20,1.155697629,0.000488525,9.11489594,8.906131953,0.208763987,3.311112816,Linear Model
NDST1.6927.7,0.814286887,0.000505019,11.68882815,11.98521908,-0.296390925,3.296692353,Linear Model
TNFRSF8.2605.49,1.262839415,0.00050666,11.11627283,10.77960163,0.336671195,3.295283678,Linear Model
LRIG1.18831.6,1.325061115,0.00050762,9.964439071,9.558380169,0.406058902,3.2944614,Linear Model
CYB5R3.7215.18,0.766761565,0.00053913,10.42664993,10.8098,-0.383150074,3.268306799,Linear Model
MAD1L1.13618.15,0.882636582,0.000540951,10.1640719,10.34418045,-0.180108552,3.266842063,Linear Model
HDGFRP2.4553.65,1.185355901,0.000544086,9.037696802,8.792376511,0.245320291,3.26433267,Linear Model
CCDC51.12790.10,1.080862289,0.000549776,9.146478613,9.034295889,0.112182724,3.259814003,Linear Model
NEGR1.7050.5,0.813066409,0.000555554,8.715546148,9.014101051,-0.298554903,3.255273398,Linear Model
TNFRSF10A.4832.75,1.188282259,0.000556813,9.781300051,9.532422483,0.248877568,3.254290846,Linear Model
PMEL.6472.40,0.652279483,0.000562645,11.06411526,11.68055311,-0.616437845,3.24976547,Linear Model
NOTCH3.5108.72,0.830362042,0.000562682,14.48092422,14.74911182,-0.268187598,3.249737296,Linear Model
APOH.8288.27,0.874162201,0.000563243,17.18639689,17.38042399,-0.194027098,3.249304064,Linear Model
DDAH1.19392.6,0.769086744,0.000567526,11.17332633,11.5521081,-0.378781769,3.246014028,Linear Model
CNPY3.17327.3,0.629461441,0.000576185,10.50339841,11.1712085,-0.66781009,3.239438248,Linear Model
CHRDL2.6086.15,0.700951146,0.00057938,11.19149447,11.70410867,-0.512614199,3.237036833,Linear Model
CCL8.13748.4,1.611287276,0.000584376,8.548676102,7.860462368,0.688213735,3.233307672,Linear Model
SPSB1.13942.140,1.13961052,0.000588762,9.296922544,9.108381699,0.188540845,3.230060502,Linear Model
ZNF334.12763.69,0.873711383,0.000588818,10.29064093,10.48541224,-0.194771308,3.230018963,Linear Model
NRXN1.5110.84,0.854720955,0.000591192,7.954841166,8.181315768,-0.226474602,3.228271672,Linear Model
ADGRG5.4551.72,1.163687041,0.000606391,9.67908954,9.460386424,0.218703115,3.217246979,Linear Model
CD59.11514.196,0.710242787,0.000608752,11.91686866,12.41048447,-0.493615819,3.215559561,Linear Model
SEMA4A.16915.153,1.247956365,0.000617798,13.47650492,13.15693743,0.319567491,3.209153305,Linear Model
KIR2DS4.17152.10,0.941576347,0.000640955,8.88970954,8.976559555,-0.086850015,3.193172408,Linear Model
TREM1.9266.1,0.720516792,0.000646241,10.08182102,10.55471706,-0.472896042,3.189605447,Linear Model
