"","x"
"470","HSP90B1"
"471","PLXDC2"
"472","UBA1"
"473","PI16"
"474","BASP1"
"475","F11"
"476","HSPH1"
"477","NAGLU"
"478","HSPA8"
"479","SERPINB1"
"480","CACNA2D1"
"481","CSF1R"
"482","COL18A1"
"483","SPTBN1"
"484","IGLV3-25"
"485","ANXA2"
"486","PF4V1"
"487","FCGR3A"
"488","FGL1"
"489","GDI1"
"490","SH3BGRL"
"491","SHBG"
"492","AMBP"
"493","YWHAH"
"494","LAMC1"
"495","LTA4H"
"496","ALDH1A1"
"497","AHNAK"
"498","CTSH"
"499","MADCAM1"
"500","APMAP"
"501","SERPINE1"
"502","NRCAM"
"503","MST1"
"504","RPS7"
"505","G6PD"
"506","IGHV1-45"
"507","IGHV4-28"
"508","GP6"
"509","SIAE"
"510","MYL6"
"511","TAGLN2"
"512","TLN1"
"513","CFD"
"514","IGLV3-1"
"515","AKR1A1"
"516","IGHV2-70"
"517","S100A7"
"518","TRHDE"
"519","PSMB5"
"520","IGHV3-43"
"521","CTBS"
"522","GGH"
"523","EIF4A1"
"524","PLIN3"
"525","GRB2"
"526","IGLV6-57"
"527","AHSP"
"528","SLC3A2"
"529","MGAT1"
"530","AARS1"
"531","ILF3"
"532","NEO1"
"533","ITGB3"
"534","CDH2"
"535","PDIA4"
"536","CST3"
"537","IDH1"
"538","PTPRC"
"539","IGHG3"
"540","GRN"
"541","CPS1"
"542","PZP"
"543","APP"
"544","LMAN2"
"545","CNTN1"
"546","B3GNT8"
"547","ETFA"
"548","FSCN1"
"549","CCDC126"
"550","PTGES3"
"551","YARS1"
"552","RELN"
"553","PSMB6"
"554","ADAMTSL2"
"555","ADA2"
"556","ADH4"
"557","MDH2"
"558","IGHV1-24"
"559","F13A1"
"560","KRT85"
"561","SPTAN1"
"562","PGK1"
"563","ICAM3"
"564","SEMA4B"
"565","GNAI2"
"566","PSME1"
"567","ADAMTSL4"
"568","PODXL"
"569","MMP14"
"570","MFAP4"
"571","PYGB"
"572","SPARC"
"573","S100A9"
"574","IGHV3-13"
"575","IGHV1-2"
"576","NDST1"
"577","CCT2"
"578","F7"
"579","CILP"
"580","KIT"
"581","CD109"
"582","DPP4"
"583","GPI"
"584","LEP"
"585","IGHV1-46"
"586","AZGP1"
"587","ADSS2"
"588","ACTN1"
"589","REG1A"
"590","TFPI"
"591","CHI3L1"
"592","SERPINA11"
"593","INHBE"
"594","LGALS3"
"595","IGKV2D-29"
"596","PVR"
"597","TARS1"
"598","BIN2"
"599","AK1"
"600","ARHGDIA"
"601","COLEC11"
"602","DBH"
"603","PON3"
"604","CADM1"
"605","IGHD"
"606","MAN1A1"
"607","PPP2R1A"
"608","NQO2"
"609","ANXA5"
"610","CAST"
"611","MRC1"
"612","CALML5"
"613","GOLM1"
"614","KRTDAP"
"615","IGHV6-1"
"616","TRAP1"
"617","IGKV1-8"
"618","LCN2"
"619","MASP2"
"620","CKM"
"621","CTSB"
"622","CHGA"
"623","PRTN3"
"624","MSLN"
"625","HSPA5"
"626","TPM3"
"627","PRDX1"
"628","CST6"
"629","CPB2"
"630","CCL5"
"631","CFHR4"
"632","CA2"
"633","PSMA1"
"634","INHBC"
"635","ANK1"
"636","CCT4"
"637","ISLR"
"638","FETUB"
"639","PDCD6"
"640","TREML1"
"641","KRT16"
"642","TGFB1"
"643","PCBP1"
"644","BTD"
"645","MMP9"
"646","GLIPR2"
"647","PRDX2"
"648","SPP2"
"649","C1RL"
"650","LASP1"
"651","IGKV3D-20"
"652","MARCO"
"653","DARS1"
"654","MINPP1"
"655","B4GALT1"
"656","EEF1G"
"657","KRT9"
"658","CD5L"
"659","F12"
"660","ACTR3"
"661","IHH"
"662","HABP2"
"663","IPO5"
"664","TXN"
"665","IGHV1-18"
"666","FUCA2"
"667","SERPINB6"
"668","F10"
"669","IGHV3-35"
"670","IGLV3-9"
"671","FAP"
"672","SPINK5"
"673","IGLV1-36"
"674","CFHR5"
"675","IGHE"
"676","GPNMB"
"677","LDHB"
"678","F8"
"679","GP1BA"
"680","PARVB"
"681","ABI3BP"
"682","PSMA5"
"683","EIF5A"
"684","HYOU1"
"685","PSMB10"
"686","ITLN1"
"687","MDH1"
"688","F13B"
"689","IGFBP5"
"690","IGHV4-34"
"691","ZYX"
"692","CDHR5"
"693","YWHAE"
"694","ERAP1"
"695","LMNA"
"696","PRKCSH"
"697","CLEC3B"
"698","EEF1A1"
"699","ILK"
"700","ALDOA"
"701","FCN2"
"702","ADGRG6"
"703","F5"
"704","GSTP1"
"705","CCL14"
"706","CCT7"
"707","LILRA3"
"708","FHOD1"
"709","KRT14"
"710","IGLV8-61"
"711","CAMP"
"712","COL1A1"
"713","CDH13"
"714","CSRP1"
"715","TGFBI"
"716","TPM4"
"717","TIMP2"
"718","PA2G4"
"719","IGLV2-11"
"720","PPIA"
"721","PLTP"
"722","IGLV3-16"
"723","ECM1"
"724","SELENBP1"
"725","PYGL"
"726","S100A11"
"727","CD9"
"728","VNN1"
"729","LTBP2"
"730","LAP3"
"731","GDI2"
"732","PNP"
"733","ITGA6"
"734","ART3"
"735","OLFM1"
"736","CRISP3"
"737","S100A6"
"738","DPP3"
"739","STC2"
"740","KRT6A"
"741","LAMP1"
"742","LCAT"
"743","PPIB"
"744","FBLN5"
"745","TIMP1"
"746","WARS1"
"747","RTN4RL2"
"748","RAB7A"
"749","NOTCH1"
"750","BST1"
"751","NSFL1C"
"752","LCP1"
"753","COL6A1"
"754","ICAM2"
"755","C4BPB"
"756","TWF2"
"757","ANXA6"
"758","ENO1"
"759","NCF4"
"760","CD55"
"761","UNC13D"
"762","HSPG2"
"763","TBCA"
"764","HEXA"
"765","GAPDH"
"766","CHIT1"
"767","ANTXR1"
"768","GPX3"
"769","TUBB"
"770","VWF"
"771","PRSS1"
"772","B4GAT1"
"773","NME1"
"774","FGFBP2"
"775","CDH5"
"776","IGLV2-8"
"777","TKT"
"778","CDH1"
"779","HDGF"
"780","HSP90AB1"
"781","IGFBP3"
"782","DIAPH1"
"783","SSC5D"
"784","CALR"
"785","RNASE1"
"786","SRC"
"787","MMP2"
"788","RAP1B"
"789","OGN"
"790","PKP1"
"791","ACTN4"
"792","VASP"
"793","LPA"
"794","PGLYRP1"
"795","IGKV1-33"
"796","EHD1"
"797","COMP"
"798","PLEK"
"799","FAM20C"
"800","SELENOP"
"801","DCXR"
"802","HEG1"
"803","HSPB1"
"804","LIMS1"
"805","S100A4"
"806","COL2A1"
"807","RPS3A"
"808","RPLP2"
"809","DMKN"
"810","CRTAC1"
"811","ATIC"
"812","IGKV1-27"
"813","NUCB1"
"814","PDIA3"
"815","COL6A3"
"816","SPARCL1"
"817","SPP1"
"818","CD99"
"819","KPNB1"
"820","PSMB4"
"821","LRP1"
"822","RNASE4"
"823","EGFR"
"824","APEX1"
"825","VCAM1"
"826","UGGT1"
"827","SEPTIN7"
"828","TSKU"
"829","ITM2B"
"830","ATP5F1B"
"831","CD44"
"832","ENPP2"
"833","IGLC7"
"834","SPTB"
"835","KRT1"
"836","PSMB1"
"837","ATF6"
"838","HSP90AA1"
"839","KRT2"
"840","ALCAM"
"841","BPGM"
"842","NOTCH2"
"843","CSTB"
"844","POSTN"
"845","XPO1"
"846","SLC4A1"
"847","LAMP2"
"848","CRYZ"
"849","NPEPPS"
"850","P4HB"
"851","ROBO4"
"852","VIM"
"853","PTPRM"
"854","CHL1"
"855","IGFBP1"
"856","ANGPTL8"
"857","FCGBP"
"858","CFHR2"
"859","IGLV1-44"
"860","IGKV6D-21"
"861","IGHV1-69-2"
"862","IGHV3-23"
"863","ELANE"
"864","DDT"
"865","IGLV4-60"
"866","IGHV1-69D"
"867","GNB1"
"868","IGHV1-8"
"869","IGLV3-27"
"870","TUBA1B"
"871","IGLV7-46"
"872","IGHV4-38-2"
"873","PPBP"
"874","IGKV1D-13"
"875","IGLV7-43"
"876","IGHV1-69"
"877","PF4"
"878","IGKV3-11"
"879","IGHV1-58"
