"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"TGOLN2",-0.635236577208639,0.0163297445915861,-3.94495252024593,0.000576193229681326,0.00640320394461584,-0.407860031617344,"TGOLN2"
"VSIG4",0.554439818109765,-0.0437048227956824,3.94271983563038,0.000579491756651574,0.00640320394461584,-0.413300416714447,"VSIG4"
"NLRP6",-0.706791245746305,0.0514766496859278,-3.9332307768512,0.000593719797200183,0.00648642198735411,-0.43641538831266,"NLRP6"
"HP",1.01579220722105,-0.21667461134684,3.93044536112814,0.000597961329919097,0.00648642198735411,-0.443198375245743,"HP"
"PSMB6",0.745739093686097,-0.110410258210454,3.92764453670951,0.000602256459472216,0.00649341964485498,-0.450017882353361,"PSMB6"
"VWF",0.403294414803771,-0.00267867777864469,3.9210223686059,0.000612533097485542,0.00656443602666735,-0.466137656125058,"VWF"
"BID",0.584260677121382,0.0455172466268104,3.90781423323417,0.000633549275938939,0.00674900695745732,-0.498272017233009,"BID"
"SELENOP",-0.466778159950712,0.0219345940540599,-3.90224790301888,0.00064261762807343,0.00680486166870615,-0.511807572898069,"SELENOP"
"LRG1",0.492192185805455,0.00853011776149626,3.89681823813825,0.000651586557331732,0.00683939542175512,-0.525006820366836,"LRG1"
"EPB41",-0.494611106441265,-0.00402448461587069,-3.89296681251525,0.000658023166771211,0.00683939542175512,-0.534367046012531,"EPB41"
"PLIN3",0.38095137745446,0.127796561182694,3.8918299685958,0.000659935040327554,0.00683939542175512,-0.537129566475094,"PLIN3"
"PSMA1",0.744092920125075,-0.0662624770219887,3.89055461938407,0.000662086358636486,0.00683939542175512,-0.540228445399043,"PSMA1"
"LDHA",0.438524137497607,-0.0302017373727649,3.88877408482037,0.000665101409760335,0.00683939542175512,-0.544554468862962,"LDHA"
"CFD",-0.370888317505385,0.0509349340371816,-3.88637090537851,0.000669192272010487,0.00684191409141757,-0.550392599867485,"CFD"
"FN1",-0.574136534334754,0.0672661585763421,-3.87179584657865,0.000694539364959541,0.00706048874436013,-0.58578335701378,"FN1"
"ENSA",0.672705965785594,-0.121931987207591,4.16381535549841,0.00114255257471088,0.00952744171198072,-0.652340759381767,"ENSA"
"HSPG2",-0.316727722938089,0.0807034413145797,-3.84157978611225,0.00075013681472683,0.00753730518462397,-0.659058393739358,"HSPG2"
"GOLM1",0.784354803698204,-0.147341137142336,3.83713187600329,0.000758682550504513,0.00754020255501412,-0.669833700507093,"GOLM1"
"GPSM3",0.679402775571142,0.112916478914189,4.15034346484736,0.00117144738130496,0.00960370917668905,-0.675712218217156,"GPSM3"
"LYVE1",-0.465293115489181,0.106523963323708,-3.83258398111593,0.000767519429812512,0.00758565036464699,-0.680848246711134,"LYVE1"
"PSMB3",0.873517654825896,-0.0325036320398467,3.81426254057712,0.000804156461960299,0.00786040849355699,-0.725190065187567,"PSMB3"
"CRP",0.983230906516051,-0.158068161680309,3.80883621084234,0.000815333790159506,0.00789955856024408,-0.73831333486466,"CRP"
"CNDP2",0.84094140759247,-0.00708359748188,3.80801307922409,0.000817042594201749,0.00789955856024408,-0.740303644037852,"CNDP2"
"S100A6",0.770279881868952,-0.121819949834739,3.80561505613573,0.000822040938234222,0.00790492340064151,-0.746101412147357,"S100A6"
"MSTN",-0.503055039782288,0.0339509496578498,-3.79477577395129,0.00084501152345254,0.00808203815269284,-0.772296928578649,"MSTN"
"PON3",-0.516330418252172,0.0815327258788474,-3.79214054504547,0.000850690755082369,0.00808203815269284,-0.778662819350427,"PON3"
"TXNRD1",0.496096573287303,0.0627028125383005,3.78856619184689,0.000858453901288079,0.00808203815269284,-0.78729562817493,"TXNRD1"
