"","COVIDX1","COVIDX2","COVIDX3","COVIDX4","COVIDX5","COVIDX6","HC2","HC3","HC4","COVIDX17","COVIDX18","COVIDX19","COVIDX20","COVIDX7","COVIDX8","COVIDX9","COVIDX10","COVIDX11","COVIDX12","COVIDX13","COVIDX14","COVIDX15","COVIDX16","HC5","HC6","HC7","HC9"
"PPP6R1",0.220903460315281,-0.466573314965965,-0.470985825468004,-0.103221928506629,-0.112974246732528,0.0990562190036846,0.45142526855498,0.257663814614679,0.722587038065676,-0.229179231702615,-0.0527919925435194,-0.230317184707957,-0.145665470347886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCYOX1",-0.390933920788244,-0.151837532631184,0.161687841776764,-0.0418396502811511,-0.237065621776703,-0.090204650264087,0.833283360506542,0.474326546677069,0.0825448690382498,-0.149833954281455,0.0780845871295321,-0.126434745058397,0.00567887175868798,0.0836000686113696,0.0114417797482975,-0.169839717029901,-0.34064954798542,0.0280524967729683,0.386392437859854,-0.15160622931136,-0.523894375311004,-0.00338094972471836,-0.344091839352849,0.078773700671257,0.942403709405189,-0.185104027658875,0.2650950502747
"LRIG3",-1.43237660299828,-1.56417000249688,-1.62680443191063,-1.62051800614112,-1.71177413107653,-2.76195246794506,2.7892730294742,-1.185054939776,1.81529432892963,-1.47673703839055,0.16792331242461,-1.51922555642551,-1.7404226356559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CES3",-0.233848775210433,0.169526282013084,0.10935706873536,-0.332713705742846,-0.0238522733010909,-0.0799400276668853,1.93720063282374,0,0.250990523103818,0.480554295600973,0.389933904193232,0.158862062936215,0.206272441421252,0.10773601501382,0.60521114265897,0.0847871296930123,-0.0907700994267948,-0.223258554669385,-0.041597498660721,0.223800013062018,-0.139954408476918,0.193784398182803,0.580875753713162,0.552238765214913,-0.242810167430353,-0.0119380652681862,-0.140009806163761
"CTSS",-0.0758710860234757,0.152172878554619,0.0296543709172692,-0.0719389907639183,-0.244645580922422,-0.162104499132009,0.298377426473031,0.121806497437221,0.62368850643328,0.0325332657031598,-0.0303872979664126,-0.176886145886487,-0.0768369927141741,-0.343066067283313,-0.28656005122515,-0.565434762596611,-0.248568828701664,0.209557086929834,-0.0311620176349479,-0.287876403786374,-0.209190059179562,-0.0348556947239089,-0.274345221605223,0.207260691971939,0.492194466958569,0.0219661582874764,-0.00643259605973157
"TGOLN2",0.0694830838637426,-0.161243298383251,-0.426710968544064,-0.600554964290687,-0.336875887509083,-0.298350758586028,0.766420572819396,0.0703975243074808,1.00204312564384,-0.139790137296938,0.049842665885536,-0.31770706260453,-0.107810628698209,0.132527906991491,-0.235279991469323,-0.0531008845763097,0.314126269803168,-0.291380226344589,-0.038289595024299,0.0872696309307379,-0.126436830338591,0.0360176102388508,-0.198322552950128,0.256564602978322,0.159812872960117,0.0835230033763814,0.74472802078979
"ANGPTL4",0.104258640828581,-0.0489630539907608,-0.347364846911027,-0.117354883615551,-0.168184416368812,0.0372973347620063,0.610714120326328,-0.0522820573101761,0.467773453824654,0.00910160806096272,-0.0321066117304936,-0.286438965690412,0.0665670977671677,0.155351693159425,0.217104986467267,0.146785734508937,0.0539905146694064,-0.242080830017343,0.00751445001459672,0.0231740683872435,0.136996867469541,-0.0403857908930139,0.382135871406631,0.191510083667078,0.187288077149969,0.379749931599315,0.240054928315453
"COLEC10",-0.0546580044763285,0.146897279360022,0.007358936717619,0.127988342888234,0.0214645282260344,0.0231456755486557,0.202896492461376,0.234883493883729,-0.186522516674222,0.243322252901574,0.156902836096326,0.490681181950897,-0.0835461593153415,-0.0157914194657529,-0.343625437457197,0.10222017910557,0.00189784015585914,-0.277266133345984,-0.0176223628052323,-0.130395241887832,-0.202471013077611,-0.0590847122853173,-0.113314125812472,0.049280366438003,0.039960110625282,0.268335086464893,0.0443397630120348
"LRRC4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0646461349067877,0.534773614614149,-0.318567391084439,0.0297833633290914,-0.406708001304267,-0.107118365609441,-0.143244088387146,-0.438189075751232,-0.0134869604310133,-0.384152964551447,0.147960305017914,0.427246509262151,0.410137636941499,0.639823923396182
"TIE1",-0.181725782406689,0.0969616638331017,0.0957084699015711,0.115948971861085,0.164636904053485,0.0287532673614415,-0.0171811224081884,0.172890721847505,0.234353335285657,0.335014622766534,-0.0273294982712722,0.215223514901936,0.109859510167498,0.128025634641395,0.000255451518321514,0.0248457004011566,-0.147806558390275,-0.11665987985195,-0.0718055590642317,-0.0546208622271109,-0.25395141665767,-0.13856315389536,0.0749506746113102,0.0279158985058903,-0.0607150885192373,0.113995853354318,0.125106749939554
"THUMPD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0632900642975809,0.932797653805508,0.0137447075391961,-0.193058199354638,-0.179157142504256,-0.1448312428587,0.127121410689174,-0.125420589625257,0.561247450024663,0.443327231665574,0.817431153158811,-0.383816235944179,0.247703303481899,-0.756075147568103
"C8A",0.112307753047803,0.168518921391016,0.126328958397876,0.187108641045841,0.242078741687178,-0.00808354032188152,0.219188495119372,-0.141429715204307,-0.203915601977151,0.184028630581896,0.199840682697084,0.202845022095257,0.15042908706871,0.0803678804453902,-0.0546179992472249,0.0985952430731487,0.0653707299759816,-0.00985002830113402,0.067158232081022,0.138756719629523,0.202263854898804,0.187901620565887,-0.151724668461005,-0.205503073999314,0.234366188005906,0.0684059515611128,-0.0807356202813931
"ANG",0.698907289816997,0.257077897624383,-0.182336992844048,-0.062498342027455,-0.131536564088122,0.0611074410372376,0.189331097328855,-0.0459156783914434,-0.0202128577379312,-0.040783337350053,0.0906389929315496,-0.0157152592845851,0.077374782643103,-0.00465505156306723,-0.0415900345660081,0.0777390191706662,-0.0537293921387771,-0.0582671876593555,-0.1361072354066,-0.165425569767391,-0.0812859882658641,-0.0769770441444724,0.0366747749890246,0.213133050287448,-0.0924789630751395,-0.0293129545351523,-0.171271212528197
"ATF6B",-0.239503134584057,0.0301110992365174,-0.0256169063928606,-0.0643093320636616,-0.341774363863393,-0.01754124707029,-0.298049944034677,-0.196520800986097,-0.256290952475405,0.121340914307929,0.0986482240130266,0.272983404325826,0.254884533503512,0.142255922627704,-0.164305972665023,-0.0114486647160312,0.203107515634709,-0.289333521672106,0.255107607397168,0.394679176429005,0.417864603901808,0.207847254798654,0.319571459270232,-0.356868039841476,-0.11164527139891,-0.143012736466776,-0.251372011214471
"ATP6AP1",0.0854711191401725,0.429623645123283,0.0455704409374311,0.00047469978400283,0.0556264861722147,0.075005882089112,-0.393324767782333,-0.137526642929638,-0.362262221536898,0.286405951962767,0.0502418160618872,0.386538438122122,0.0606091273038603,0.1244473267349,0.33042506437388,0.134711351615007,0.438060991094911,0.201533042875219,0.540585893316896,0.504214781050937,0.394107530324975,0.357692919896548,0.412001453821635,0.0723634866070952,-0.318535369978553,-0.195305535375832,-0.520151401585643
"FHL1",0.393255552703808,-0.470593475454773,-0.497976484300818,0.0504067783176154,0.759961859006499,0.0596531226278296,-0.413186348022979,-0.272801286032376,0.174455520713458,0.0746139031636162,-0.11193738093031,-0.322656757892336,-0.554264285118043,0.0239659502250333,0.222771145221188,0.399673855744876,0.223935286432294,-0.036482208545042,-0.163296423125498,-0.00533407272922304,-0.0711780969256957,0.118152740790332,0.0439974198201405,-0.413338966822387,-0.235489867279242,0.119624537922345,-0.078224922296755
