"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"PSMD2",-0.416161310368812,0.0459583894345128,-2.35619436067267,0.0266672684401577,0.0847482214606928,-3.97676602678399,"PSMD2"
"ALCAM",-0.259996684844707,0.0703619593977499,-2.35467014728555,0.0267562852536617,0.0848474714193656,-3.97973988688498,"ALCAM"
"COTL1",0.383905306810903,-0.083209081935244,2.35194995000124,0.0269158262778105,0.0851246682358097,-3.98504421340576,"COTL1"
"GKN1",-0.320848752324815,0.0407008694321533,-2.25957070262519,0.0419124024357105,0.116503381145514,-3.9863549007845,"GKN1"
"GDA",0.47058952533235,-0.0595669535239527,2.34641553415089,0.0272431150607654,0.0857796490143391,-3.99582434414019,"GDA"
"EFCAB14",-0.270369172794502,0.0571357960961779,-2.34393157693598,0.0273911899304875,0.0860935103998891,-4.00065750165192,"EFCAB14"
"CCT4",0.454842798033773,-0.15675637056378,2.24748294448275,0.0428550145246302,0.11838365037161,-4.00620372709178,"CCT4"
"FBP1",0.669961344167487,-0.0393146799176603,2.33932637637395,0.0276676674370092,0.0866563034690835,-4.00960955178843,"FBP1"
"GUCA2A",-0.478361735003314,-0.0719172657374743,-2.33710257366847,0.0278020874673583,0.0869242769849393,-4.0139284344052,"GUCA2A"
"GCLC",0.340995861975496,-0.00837184900414215,2.33478222084961,0.0279429800836357,0.0870587768279998,-4.01843206881133,"GCLC"
"TXNDC15",0.296881959566591,0.0423598498272515,2.32941139659801,0.028271606221916,0.087928649420959,-4.02884561213075,"TXNDC15"
"RTN4",-0.387165950553825,0.117767411183268,-2.23316663912761,0.0439973318591103,0.120602855743232,-4.02965629050587,"RTN4"
"NAGA",-0.387841688703657,-0.0253327240203909,-2.23196785167725,0.0440942783553892,0.120682647991134,-4.03161733969804,"NAGA"
"PCMT1",0.281108448222563,-0.0312041463134377,2.32004273855343,0.0288533146948366,0.0892696466819378,-4.0469742657005,"PCMT1"
"RECK",-0.265997814386684,0.0707370268273282,-2.31396407764484,0.0292365695792865,0.0902983633360256,-4.05871186867781,"RECK"
"FLNB",-0.498950252018485,0.117569039393939,-2.21248389674351,0.0456984900299122,0.123740660217982,-4.06342949646012,"FLNB"
"PNP",0.422318198926089,0.031404230903759,2.30903827480551,0.029550539605713,0.0909672305544383,-4.06820898582706,"PNP"
"QPCT",-0.350938380361413,0.125786907974668,-2.30881545918563,0.0295648143011119,0.0909672305544383,-4.06863827718799,"QPCT"
"RAB8A",-0.377604988423083,0.0543055962303807,-2.20863335099669,0.0460219672015319,0.124021423618221,-4.06970271346883,"RAB8A"
"IGF2",-0.387333629419237,-0.0136722240893182,-2.30816479103809,0.0296065354081056,0.0909672305544383,-4.06989174644798,"IGF2"
"CHGB",-0.394053031530903,0.182806453706949,-2.20338050905275,0.0464667274383695,0.124494439929005,-4.07825313878482,"CHGB"
"MAPRE2",0.563519813090234,-0.129212551945727,2.29697937499318,0.0303321956541605,0.0929291649104308,-4.09140441746227,"MAPRE2"
"THOP1",0.325588543850253,0.0921698916636542,2.29587311045409,0.0304048391208451,0.0929385030858823,-4.09352843839678,"THOP1"
"TFF3",-0.322060783376971,0.0774638683850247,-2.18743681451668,0.0478415862752302,0.127564769057721,-4.10415315588124,"TFF3"
"RTN1",0.512846355515085,-0.190492134562639,2.18623650415698,0.0479466249998272,0.127564769057721,-4.10609978570701,"RTN1"
"CD9",-0.383052005488352,-0.00805792803412781,-2.28410013803199,0.0311877955608144,0.0951682475174765,-4.11609176682124,"CD9"
"CRHBP",0.279908256379969,0.00484557154841362,2.2766750614879,0.0316909896722633,0.0965381346351992,-4.13028378318216,"CRHBP"
"HPSE",0.323054564824864,-0.0393979203801221,2.27301794052188,0.0319415359123985,0.0969387139970021,-4.13726290099795,"HPSE"
"APLP2",-0.297911255570542,-0.0189799399849301,-2.27237220598369,0.0319859612795055,0.0969387139970021,-4.13849444396929,"APLP2"
"CD34",-0.400304192189141,0.0139786346782921,-2.26931591476952,0.0321969917418911,0.0974123270558234,-4.14432032067123,"CD34"
"COL3A1",0.229987806427117,-0.0131935500742232,2.26584751933264,0.032438009631894,0.0976632838844545,-4.1509255930567,"COL3A1"
"APLP1",-0.284995927166561,0.0480323136830455,-2.26575254678071,0.0324446322516653,0.0976632838844545,-4.15110636828944,"APLP1"
"RALB",-0.63469733792592,0.0832281267922539,-2.14037912583225,0.052125566603214,0.135572197349587,-4.18012225430642,"RALB"
"ARF4",0.644744634748552,-0.147068658450105,2.24861882676063,0.0336596949919706,0.100979084975912,-4.18363882065865,"ARF4"
"DAG1",-0.224075925792908,0.0149499320553053,-2.24691681047895,0.0337826232470339,0.101007204632728,-4.18686171194454,"DAG1"
"ADAMTS17",-0.632277444017081,0.107481462656672,-2.13046376738716,0.053072902791164,0.137633664818485,-4.19603642830404,"ADAMTS17"
"FAM20A",0.250543344915231,0.0794146880103928,2.24065478661353,0.0342384113039011,0.102198210922215,-4.19870556778986,"FAM20A"
"SERPINB9",0.372992816472354,-0.0442637336110501,2.12552312399484,0.0535509270608099,0.138667020128108,-4.20395380258261,"SERPINB9"
"FURIN",0.321773628146367,-0.0170165571357524,2.23671452402108,0.034528057709895,0.102718084725591,-4.20614699483495,"FURIN"
"TMED8",0.593967148395957,-0.143411329337851,2.12289038364829,0.0538072932697514,0.138930587412029,-4.20816938291256,"TMED8"
"BRK1",-0.288534265628754,0.0941485393922833,-2.12003260859008,0.0540868693042121,0.139138812242578,-4.21274261973592,"BRK1"
"NCF2",0.665476428154189,0.0179700028408858,2.11979127896957,0.0541105405590424,0.139138812242578,-4.21312868676502,"NCF2"
"IL13RA1",-0.30516365302821,0.0710516388857005,-2.23172473849886,0.0348980395902209,0.103311223507182,-4.2155581723854,"IL13RA1"
"H1-5",0.780010730735857,-0.15860567681748,2.11554238030311,0.054528888428431,0.139377719129567,-4.21992259680803,"H1-5"
"SNAP23",0.314231358562818,-0.1280390942168,2.11242304718792,0.0548379378001742,0.139966558603314,-4.22490640796368,"SNAP23"
"EEF1B2",-0.421561623064915,0.12963782327583,-2.22574943774244,0.0353458177679466,0.104149924059222,-4.2268099282936,"EEF1B2"
"GMPR",0.602999943534193,-0.0611286158096859,2.22402176331518,0.0354762524157649,0.104317773632472,-4.23005951237404,"GMPR"
"PDCD6IP",0.266825875030011,-0.0313853984221407,2.22303058881356,0.0355512798624978,0.104365885932976,-4.23192306211661,"PDCD6IP"
"IGHV4-28",-0.324762891293773,-0.00591288912108107,-2.22105615098768,0.0357011639828818,0.104633230190357,-4.23563365408285,"IGHV4-28"
"TINAGL1",0.233031073962462,0.0419491491973666,2.21993599821176,0.0357864513373542,0.104710685738739,-4.23773780708543,"TINAGL1"
"SPDYA",0.601720936302302,0.119155155525513,2.10294142136288,0.0557873913669915,0.141816418486886,-4.24003472814978,"SPDYA"
"PROCR",-0.301949092366532,0.0461944628935137,-2.21477300695035,0.0361819440009031,0.10525723615894,-4.24742716802848,"PROCR"
"CPQ",-0.303224056128272,0.00546811859704275,-2.21365367457849,0.0362682061066476,0.10525723615894,-4.24952584513741,"CPQ"
"GP1BA",-0.275257170928414,0.0359431553112747,-2.21364240235009,0.0362690757534738,0.10525723615894,-4.24954697627796,"GP1BA"
"CHMP2A",0.343405320163974,-0.0634242017192073,2.09126735345941,0.0569774233624106,0.144391504503887,-4.25861814403011,"CHMP2A"
"TPP1",0.216203844835176,-0.0356177435474724,2.20807232114334,0.0367011181513417,0.106337604545988,-4.25998003629478,"TPP1"
"TBCA",0.413190601891152,-0.137437228238751,2.20302638179075,0.0370965146346018,0.107217143616705,-4.26941629064999,"TBCA"
"EMD",0.465099101623244,-0.178573904443453,2.19808387423355,0.0374875320611961,0.107738803775231,-4.27864520246004,"EMD"
"PEPD",-0.178645080008419,0.0736060439488209,-2.19615930016894,0.0376407950304413,0.108004797353476,-4.28223513516095,"PEPD"
"SDC4",-0.36519110204323,0.00942417527599563,-2.18881881460551,0.0382305578091363,0.109277775480727,-4.29590817383795,"SDC4"
"CORO1A",0.330676580438601,0.00653481278712384,2.18826763288557,0.0382751765163228,0.109277775480727,-4.29693361955448,"CORO1A"
"FGFR1",-0.266321370668697,0.0611501878264,-2.18779911175127,0.0383131406877144,0.109277775480727,-4.29780514367397,"FGFR1"
"OLA1",0.32424912583751,0.0715934351845493,2.18758936756236,0.0383301472175233,0.109277775480727,-4.2981952609217,"OLA1"
"ICAM3",0.292304392697458,-0.0117390330506677,2.18466388547022,0.0385680625173695,0.109780133149441,-4.30363395220548,"ICAM3"
"MYL6",0.390556108191007,-0.00847789594011688,2.18341387686283,0.0386701250077304,0.109894812122608,-4.30595632667155,"MYL6"
"WDFY3",0.458961875289958,0.158231072593664,2.05460299230179,0.0608701501399906,0.151876573771449,-4.31666705215092,"WDFY3"
"PECAM1",-0.278954732899094,-0.0202196458781441,-2.17481416476991,0.0393789096440398,0.111552675568068,-4.32190945436123,"PECAM1"
"PLA2G12B",-0.368617687898975,0.358222474423285,-2.04233261284398,0.0622270577247203,0.15461164202832,-4.33598493180061,"PLA2G12B"
"PRX",-0.389318084982843,0.0447005082562439,-2.16710779941803,0.0400239823201374,0.113020102456388,-4.33616939645685,"PRX"
"YWHAB",0.366851549752561,-0.0615289700905906,2.16555587839765,0.0401550328553919,0.113210465055059,-4.33903696345188,"YWHAB"
"RAB27B",0.637974886375013,-0.120236758576777,2.1637717236549,0.0403061711165101,0.113456769645999,-4.34233192912377,"RAB27B"
"ISOC2",0.508747165410549,0.303062717800602,2.03616253946376,0.0629198980322702,0.155504324152631,-4.34567768646317,"ISOC2"
"SERPINA2",0.316597648442878,0.0461318447954912,2.03437626489815,0.0631218073451762,0.155597307023208,-4.34848114416357,"SERPINA2"
"CPS1",0.738856373662073,-0.0779123011162077,2.1602217745241,0.0406084152193188,0.114018716132469,-4.34888249982122,"CPS1"
"PRDX6",0.376946262118715,-0.0464515546725566,2.15992249674798,0.0406339887734599,0.114018716132469,-4.3494344123581,"PRDX6"
"QSER1",-1.10705722974866,-0.41522283194625,-2.03277053362413,0.0633038202992928,0.155764171939754,-4.35100022839617,"QSER1"
"S100A11",0.416096356162071,-0.101913540687638,2.15710048545263,0.0408758451698803,0.114516737885381,-4.35463607710465,"S100A11"
"CLC",0.606946771590696,-0.145168871637148,2.1558612986197,0.0409824561882471,0.11463488924354,-4.35691875145699,"CLC"
"SLPI",-0.410652340687083,-0.0254831874720138,-2.15461060442078,0.0410903105758914,0.114756142094993,-4.35922172302514,"SLPI"
"CFH",0.214373798536713,0.0101756081146351,2.15152680484215,0.0413573346079121,0.115320843679429,-4.36489622391736,"CFH"
"ELF5",-0.366149964448179,0.0461430380247267,-2.02219864214852,0.0645143266338656,0.157436196271121,-4.36756124854095,"ELF5"
"EIF5A",0.455055564717119,-0.0916202175929528,2.14833470296638,0.0416353775431217,0.115914454850099,-4.37076420746926,"EIF5A"
"MAN1B1",-0.247064299659005,0.0933300735611821,-2.14225494897097,0.0421695924408326,0.117035421142342,-4.38192414203476,"MAN1B1"
"IGHV4-34",0.799028043247038,-0.106641024402894,2.0116644140662,0.0657417459409899,0.159773997307406,-4.38402105771072,"IGHV4-34"
"OXSR1",0.263372224093018,-0.0398811778433793,2.14039320495378,0.0423344059641249,0.117309825872552,-4.38533723903082,"OXSR1"
"ICAM1",0.227914086408608,0.0353178476770718,2.13582405001304,0.0427413494812146,0.118253282623765,-4.39370520960749,"ICAM1"
"LAMTOR3",0.431560758380707,-0.173817702987745,1.99967697209878,0.067164662571768,0.162345019993445,-4.40269967876109,"LAMTOR3"
