"","x"
"PTPRF",6.5753931323513
"CFL1",8.83907846657067
"CTSG",4.01064404383284
"HGFAC",6.18411213581687
"ALDOB",2.76973734480097
"ARPC2",3.95505180812489
"PSMA4",36.0922948941181
"ITGA2B",4.24273299611474
"CAVIN2",3.99483015090105
"YWHAZ",7.52287537667528
"HLA-A",3.28712568916576
"COTL1",20.4646066159958
"CANX",3.6401515151515
"IL1RAP",16.9596715130608
"PRDX6",11.1587096553762
"HSPD1",7.53953037579314
"LYZ",7.59805501063713
"GPT",4.70298368789653
"TPI1",6.23619154422974
"SOD3",7.53080962137653
"CORO1A",4.2112215155042
"JCHAIN",7.88006807613136
"SERPINA5",5.12312781027888
"PSMB7",4.97477547798014
"APOD",6.95979132738077
"CTSA",6.18858130330967
"PLA2G7",4.04599379778233
"MMRN1",4.87667393324581
"FLT4",4.64751812269869
"FASN",5.19658119115055
"SLPI",5.26039916059804
"ATRN",14.2646987307949
"OAF",8.13252253496116
"CTTN",4.74215380635265
"MYH7",4.63899454067586
"FGFR1",53.0247311649203
"ARHGDIB",12.7126544110751
"LILRA2",8.74999999999867
"EFEMP1",5.75428404650337
"ASGR2",26.6566685416667
"HPSE",13.1618934138227
"MPO",4.84944083322295
"SLC38A10",6.52368382447187
"CAPNS1",10.8205681938986
"ATP5F1A",15.7407407407352
"HNRNPU",3
"APOF",5.69717106972051
"ITGB1",20.1006397991186
"NPC2",9.86324551139402
"FERMT3",4.68812095114237
"DSTN",59.8411919044727
"SELP",9.49001574798604
"MAPRE1",9.15384615384492
"CCT8",10.7547739939235
"PLXNB2",3.14232299887982
"IL6ST",16.3009362352254
"TYMP",66.5517167072335
"TCP1",7.70118181303309
"TALDO1",22.8981244882964
"CLIC1",5.47047177386246
"PCOLCE",4.94249783471388
"RSU1",3.97787822037476
"IGFBP2",3.51870560008623
"IGLV1-51",4.41376139104225
"ARHGAP1",9.39281633571797
"IGLL5",4.85748202811088
"ESD",8.76562491104753
"IGHV3-7",4.59404440626061
"CASP14",11.0456454991252
"NRP2",11.5856735650484
"BPIFB1",4.77243101191701
"CFHR3",4.87007833060031
"RAB14",4.04381829688456
"CCT6A",3.9475826983436
"KRT19",3.48872648212226
"C1orf56",10.8813033239207
"NOTCH3",4.85858585814172
"LYVE1",6.64741248985532
"PRG4",5.69733362752934
"F9",5.75472151220185
"DSG2",5.85398037312395
"PDLIM1",3.53389177745671
"ALDH16A1",5.11904736813925
"SERPINH1",3.49999999999923
"EZR",4.87394956327042
"TKFC",7.01776999708011
"FBP1",8.41067093824186
"PFN1",6.9534749082457
"STIP1",8.21833722770556
"TNC",3.25692660448981
"IGKV1-17",4.96923949576509
"SFTPD",11146623684.3752
"CLTC",5.21576889433422
"ADGRF5",9.06866965624589
"MYH9",4.63481999524118
"PRG2",13.2918125747862
"VCL",5.82761181757923
"GSR",3.50863119293763
"PSMA6",10.1701463966161
