"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval","order"
"BCHE","BCHE",1196,550,646,"SMD",0,0.95,17,NA,-0.458466532844865,0.0974543820454822,-4.70442193795757,2.54586250785396e-06,-0.649473611789617,-0.267459453900113,0.270955631642855,0.95,-1.03599479077689,0.11906172508716,30.6683450698797,16,0.014829722349336,NA,0.0639195977391118,0.0533904747257406,0.00560576459603559,0.477457786852406,0.252823253952463,0.0748716541558659,0.690983203017559,NA,1.38447519546848,1.04465754243766,1.83483245848662,0.478289423066585,0.0836695648034936,0.702965310733319,0.395897143165655,0.0958642239995509,0.69593006233176,NA,-4.70442193795757,-0.439549954274767,0.0690977803918216,-0.574979115254395,-0.304120793295139,-6.36127458483155,2.0008638476199e-10,-6.36127458483155,0.000154482936976578,3.52943076376673e-09,137
"ANXA2","ANXA2",86,30,56,"SMD",0,0.95,4,NA,-0.4645925509089,0.234624649919449,-1.98015234575055,0.0476864127388353,-0.924448414636339,-0.00473668718146109,0.234624649919449,0.95,-1.47410094135133,0.54491583953353,1.95524768336471,3,0.581746974928983,NA,0,0.179778033934516,0,1.80118587877816,0,0,1.34208266465899,NA,1,1,2.55553430854916,0,0,0.846878361262294,0,0,1,NA,-1.98015234575055,-0.4645925509089,0.234624649919449,-0.924448414636339,-0.00473668718146109,-1.98015234575055,0.0476864127388353,-1.98015234575055,0.218550719410312,0.116866378230716,136
"CAMP","CAMP",540,179,361,"SMD",0,0.95,10,NA,-0.467975543705808,0.095475606985565,-4.90151944021222,9.50982368646391e-07,-0.655104294799616,-0.280846792612,0.0954961729060021,0.95,-0.688190113323221,-0.247760974088395,11.6597000351148,9,0.233180574334399,NA,3.92751043099524e-06,0.0387383429550946,0,0.721296587382572,0.00198179474996661,0,0.849291815209926,NA,1.13821009753203,1,1.63051284099192,0.228110502594813,0,0.623858239266095,4.30856343045593e-05,0,0.502896606260619,NA,-4.90151944021222,-0.467973674650234,0.0954728321307274,-0.655096987128498,-0.28085036217197,-4.90164232280713,9.50387583026796e-07,-4.90164232280713,7.21320126618288e-05,1.06010144371445e-05,135
"IGHV3-38","IGHV3-38",426,128,298,"SMD",0,0.95,7,NA,-0.47080754118392,0.21372733824006,-2.20284192495349,0.0276058920504249,-0.889705426646047,-0.0519096557217924,0.48455314938834,0.95,-1.71639106540196,0.774775983034116,15.8980262952021,6,0.0143118937067662,NA,0.189112379470978,0.178904794222585,0.0105092385876155,1.79445035531067,0.434870531849398,0.102514577439579,1.33957095941599,NA,1.62778102003935,1.07895790627752,2.45576869476021,0.62259466121208,0.141004286785993,0.834184516226871,0.591427841216835,0.113745946818653,1,NA,-2.20284192495349,-0.263299755433734,0.109641789620076,-0.478193714289601,-0.0484057965778667,-2.40145437561812,0.0163300453080967,-2.40145437561812,0.155680811302954,0.051222015538278,134
"VASN","VASN",805,370,435,"SMD",0,0.95,13,NA,-0.48043169668892,0.180288998007054,-2.66478654826249,0.00770372031716042,-0.833791639591559,-0.127071753786281,0.569386172224335,0.95,-1.73364221211606,0.772778818738224,35.1314489575369,12,0.000446258211170956,NA,0.291696490317893,0.16949675059461,0.124172362437013,1.93646144394967,0.540089335497279,0.352380990459208,1.39156798035514,NA,1.71102914833775,1.2758064286622,2.29472173888579,0.658425702438169,0.385629396081911,0.810093451719878,0.690318323596375,0.301862442897646,1,NA,-2.66478654826249,-0.362790469107976,0.0851687319016513,-0.52971811624416,-0.195862821971792,-4.25966738035866,2.04731338552939e-05,-4.25966738035866,0.0635138245713715,0.000170646945376268,133
"LCAT","LCAT",1155,537,618,"SMD",0,0.95,16,NA,-0.494354228394368,0.240294418042057,-2.05728552674014,0.0396587687304088,-0.96532263344281,-0.0233858233459253,0.924523146633718,0.95,-2.47725916596625,1.48855070917751,94.1769408870061,15,1.63847686826195e-13,NA,0.797001641319341,0.335425586664684,0.436486889168189,3.1596487137431,0.892749484076771,0.660671544088429,1.77754007373761,NA,2.50568607886152,2.01913369464834,3.10948340986102,0.840725342544338,0.754715645485807,0.896575480495433,0.862684248190793,0.612754151384527,1,NA,-2.05728552674014,-0.354956852912307,0.0704124155029423,-0.492962651362543,-0.21695105446207,-5.04111171839396,4.62835154470411e-07,-5.04111171839396,0.194587694497816,5.48531976040323e-06,132
"MINPP1","MINPP1",471,144,327,"SMD",0,0.95,9,NA,-0.495867016482188,0.177962533146284,-2.78635624991125,0.00533042542887078,-0.84466717204642,-0.147066860917955,0.431070713642927,0.95,-1.51518728011366,0.523453247149287,19.570364751873,8,0.0120896515543796,NA,0.15415129695678,0.138547591321198,0.00991502508621011,0.913449504688909,0.392621060256299,0.0995742189836813,0.955745522976126,NA,1.56406380751686,1.08268658771963,2.25946790302127,0.591218656298455,0.146910716430963,0.804121104113111,0.540813489564333,0.1445224451699,0.937104533958766,NA,-2.78635624991125,-0.384794214977803,0.105114519836505,-0.590814888109574,-0.178773541846032,-3.66071419606266,0.000251513191226303,-3.66071419606266,0.0487123817807047,0.00150808502407234,131
"MEGF8","MEGF8",175,68,107,"SMD",0,0.95,5,NA,-0.497744912671111,0.197628890504078,-2.51858375261608,0.0117827857477052,-0.885090420363713,-0.11039940497851,0.305233675634778,0.95,-1.46913469594318,0.473644870600955,5.24057194099878,4,0.263491821243558,NA,0.0541104183796445,0.136439015034966,0,1.3177234476926,0.232616461970439,0,1.14792135954193,NA,1.14461477591795,1,1.7904473950773,0.236724532162866,0,0.688055833281821,0.277083090223776,0,1,NA,-2.51858375261608,-0.48573775061996,0.164255365258541,-0.807672350794171,-0.163803150445748,-2.95721086404332,0.00310435742346278,-2.95721086404332,0.0835256354171439,0.0133787221914575,130
"AGL","AGL",70,24,46,"SMD",0,0.95,2,NA,-0.502301012249378,0.255982922196154,-1.96224423074784,0.0497340566528663,-1.00401832041116,-0.000583704087596226,NA,0.95,NA,NA,1.81720128468244e-07,1,0.999659872641776,NA,0,0.311399443548731,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,-1.96224423074784,-0.502301012249378,0.255982922196154,-1.00401832041116,-0.000583704087596226,-1.96224423074784,0.0497340566528663,-1.96224423074784,0.222215076405197,0.120714502307837,129
"VNN1","VNN1",460,144,316,"SMD",0,0.95,8,NA,-0.505246012648345,0.110835720726847,-4.55851244828838,5.15172115986512e-06,-0.722480033473504,-0.288011991823186,0.13479623758845,0.95,-0.835080523893276,-0.175411501403414,7.59817268948011,7,0.369355249576814,NA,0.00588546867896226,0.0480754854560909,0,0.489404493434067,0.0767168083210079,0,0.699574508850964,NA,1.04185087289607,1,1.82972591204231,0.0787258613256183,0,0.701305020457018,0.0598868632810015,0,0.996210281037888,NA,-4.55851244828838,-0.503295473172832,0.106187945680736,-0.71142002229937,-0.295170924046294,-4.73966672908466,2.14070024867447e-06,-4.73966672908466,0.000260505366650513,2.27093865541201e-05,128
