"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval"
"IL6R","IL6R",36,11,25,"SMD",0,0.95,2,NA,0.234625306784455,1.12174960807515,0.209160141528427,0.83432322666012,-1.96396352471475,2.43321413828366,NA,0.95,NA,NA,6.30784024942154,1,0.0120205182364735,NA,2.13041548121871,3.58048740023192,NA,NA,1.45959428651208,NA,NA,NA,2.51154140905969,1.23812482607754,5.09467229520401,0.841467132892006,0.347664315484963,0.961472796061793,0.846530208889974,0.432700234099425,1,NA,0.209160141528427,-0.227226252596182,0.391059219574366,-0.99368823878428,0.539235733591916,-0.581053306564408,0.561204527157614,-0.581053306564408,0.92249878632901,0.700085044145817
"SERPINA2","SERPINA2",23,8,15,"SMD",0,0.95,2,NA,1.07191224299363,0.912993302721479,1.17406364296259,0.240369534712778,-0.717521748466745,2.861346234454,NA,0.95,NA,NA,3.45467139047508,1,0.0630732712244169,NA,1.18494365649838,2.35844678108667,NA,NA,1.08855117311883,NA,NA,NA,1.85867463276257,1,3.91911258344102,0.710536868207751,0,0.93489347424621,0.710775617202919,0,1,NA,1.17406364296259,1.0308314876636,0.490303401481924,0.0698544792615436,1.99180849606565,2.10243592956514,0.0355151065940771,2.10243592956514,0.52240771369525,0.0924123785646912
"KITLG","KITLG",33,10,23,"SMD",0,0.95,2,NA,-0.579615238649381,0.394386911098791,-1.46966144752251,0.141653469042226,-1.35259938037701,0.193368903078249,NA,0.95,NA,NA,0.00904354767772404,1,0.92423732878302,NA,0,0.636675476024478,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,-1.46966144752251,-0.579615238649381,0.394386911098791,-1.35259938037701,0.193368903078249,-1.46966144752251,0.141653469042226,-1.46966144752251,0.397205753303247,0.26399055594233
"CASP14","CASP14",51,19,32,"SMD",0,0.95,3,NA,0.231200998081945,0.379373841220376,0.609427886061449,0.542240858754311,-0.512358067386608,0.974760063550498,0.532375164797131,0.95,-6.53326684228514,6.99566883844903,2.67300292869805,2,0.262763349320285,NA,0.139498804690469,0.437635489458097,0,12.2689314835219,0.373495387776703,0,3.50270345355155,NA,1.15607156540978,1,3.58447998382538,0.251777849351573,0,0.922169883441496,0.323083268516455,0,1,NA,0.609427886061449,0.189461787494594,0.304803729304123,-0.407942544294983,0.786866119284171,0.621586185730542,0.534214006902281,0.621586185730542,0.760509470446575,0.682731801576041
"L1CAM","L1CAM",38,13,25,"SMD",0,0.95,2,NA,-0.827296004547707,0.788970815646368,-1.04857618069173,0.294373223368127,-2.37365038806778,0.719058378972365,NA,0.95,NA,NA,4.10178549859162,1,0.0428379516201646,NA,0.943794404264429,1.76503604986911,NA,NA,0.97149081532685,NA,NA,NA,2.02528652259171,1,4.25323414862307,0.756203731193804,0,0.944720842452602,0.758098303703003,0.0911780137978003,1,NA,-1.04857618069173,-0.949788337935788,0.381759625994855,-1.69802345563718,-0.20155322023439,-2.48792243407266,0.0128491753818772,-2.48792243407266,0.58463246878184,0.0429069265055552
"CDH6","CDH6",39,13,26,"SMD",0,0.95,2,NA,-1.28376759915905,1.28492722681628,-0.999097514915221,0.317747454882704,-3.80217868647388,1.23464348815578,NA,0.95,NA,NA,10.068487771586,1,0.00150826775137266,NA,2.97412236578855,4.66985295880575,NA,NA,1.72456439885223,NA,NA,NA,3.17308804976886,1.65822945301555,6.07183026044802,0.900680219047186,0.636327258357587,0.972875561572293,0.900682602409366,0.625399757894162,1,NA,-0.999097514915221,-1.30272256965294,0.40489156030213,-2.09629544548934,-0.509149693816541,-3.21746041997233,0.00129330870054544,-3.21746041997233,0.601026046205813,0.00613109155852323
"ACTA1","ACTA1",44,22,22,"SMD",0,0.95,2,NA,0.01489011264797,0.707823225189187,0.0210364849839311,0.983216551300499,-1.37241791614382,1.40219814143976,NA,0.95,NA,NA,4.10298738633168,1,0.0428075123804758,NA,0.767756369336271,1.4356831310171,NA,NA,0.876217078888714,NA,NA,NA,2.02558322128015,1,4.25380198451729,0.756275146413731,0,0.944735599789637,0.766202941729271,0.137534666349934,1,NA,0.0210364849839311,0.266536854582414,0.311010339964287,-0.343032210567146,0.876105919731974,0.857003193569128,0.391443119672994,0.857003193569128,0.989740881435207,0.56073580032477
"NECTIN1","NECTIN1",35,12,23,"SMD",0,0.95,2,NA,-1.71743643749497,1.20684831301281,-1.42307564171633,0.154714228698844,-4.08281566580299,0.647942790813055,NA,0.95,NA,NA,6.42133174024915,1,0.011275757295514,NA,2.46207409329657,4.12415747694147,NA,NA,1.56909977161956,NA,NA,NA,2.53403467621285,1.25164498363241,5.13031396619649,0.844269064354367,0.361681143967039,0.962006254260156,0.845212180921102,0.418307903439031,1,NA,-1.42307564171633,-1.93611233605209,0.465430177484454,-2.8483387212397,-1.02388595086447,-4.15983412703563,3.18478802042358e-05,-4.15983412703563,0.413655886302865,0.000254583812920052
"CDSN","CDSN",39,13,26,"SMD",0,0.95,2,NA,0.213881341761661,0.351121571028849,0.60913757344771,0.542433254464861,-0.474304291650005,0.902066975173327,NA,0.95,NA,NA,0.152571886672691,1,0.696089588223843,NA,0,0.377669616202941,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,0.60913757344771,0.213881341761661,0.351121571028849,-0.474304291650005,0.902066975173327,0.60913757344771,0.542433254464861,0.60913757344771,0.760509470446575,0.688446364164107
"RAB11B","RAB11B",23,9,14,"SMD",0,0.95,2,NA,-0.796797200533418,0.483747605555605,-1.64713414884661,0.0995304754084761,-1.74492508502989,0.151330683963055,NA,0.95,NA,NA,0.41199748569708,1,0.520957397767762,NA,0,0.663736301954546,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,-1.64713414884661,-0.796797200533418,0.483747605555605,-1.74492508502989,0.151330683963055,-1.64713414884661,0.0995304754084761,-1.64713414884661,0.331962258295903,0.201855255607832
