"","Sensitivity","Se 95% CI, Lower limit","Se 95% CI, Upper limit","Specificity","Spec 95% CI, Lower limit","Spec 95% CI, Upper limit","Std Dev Study","Corr study","N_study","Mean posLR","Median posLR","posLR 95% CI, Lower limit","posLR 95% CI, Upper limit","Mean negLR","Median negLR","negLR 95% CI, Lower limit","negLR 95% CI, Upper limit","Mean DOR","Median DOR","DOR 95% CI, Lower limit","DOR 95% CI, Upper limit","AUC","abs_diff","protein","cat","Wald_Pval","adj.Pval"
"271",0.677990668213015,0.527253269590318,0.798988553830366,0.623629818041019,0.460421646694055,0.762894189854397,0.227646255317337,1,4,1.85,1.79,1.23,2.78,0.53,0.521,0.33,0.782,3.77,3.49,1.61,7.56,68,0.0543608501719959,"KRT19","Not significant",0.0493738491144693,0.053507958018992
"272",0.852201118743594,0.303470392807352,0.987064583756566,0.653639516826625,0.16726301403425,0.946611942861588,1.80637684372056,-1,3,4.11,2.41,0.395,18.3,0.62,0.231,0.0141,3.65,173,10.9,0.109,1100,82,0.19856160191697,"C1orf56","Not significant",0.00575800754087626,0.00741722516622123
"273",0.770833333317186,0.631798115830598,0.868310988117456,0.590909090909091,0.441952066361518,0.724858906827783,1.34326047055232e-11,NA,3,1.92,1.87,1.3,2.85,0.405,0.391,0.215,0.677,5.4,4.85,1.97,12,NA,0.179924242408095,"NOTCH3","Not significant",0.000951549329793666,0.00149265654156648
"274",0.640046984321106,0.470553672903391,0.780581436233835,0.788958613107463,0.648777428633783,0.883257861016369,0.731127216031987,-1,7,3.25,3.02,1.43,6.41,0.473,0.458,0.255,0.782,8.25,6.65,1.84,24.1,78,0.148911628786356,"LYVE1","Not significant",8.41650034018208e-11,5.27253021310761e-10
"275",0.681423101212266,0.600244806402545,0.752902697404895,0.727044470625842,0.640427104507044,0.799334335923017,0.616358752335123,-1,15,2.54,2.49,1.72,3.66,0.445,0.439,0.316,0.607,6.06,5.7,2.85,11.4,76,0.0456213694135762,"PRG4","70-79%",5.15283419757313e-27,1.0006804011687e-24
"276",0.711867984500241,0.613776716066012,0.793430967522429,0.699632176638997,0.573599529916036,0.801316257806658,1.00149865438565,-0.487179017196409,17,2.44,2.36,1.54,3.78,0.422,0.413,0.274,0.621,6.29,5.76,2.52,13.1,76,0.0122358078612438,"F9","70-79%",1.62505326667353e-09,7.96932687848483e-09
"277",0.817936840732843,0.732407120676551,0.880586206880593,0.565788936970179,0.452914963595046,0.672228281050152,5.06592993982353e-05,-1,7,1.91,1.88,1.46,2.52,0.331,0.323,0.204,0.502,6.21,5.85,2.99,11.5,56,0.252147903762664,"DSG2","Not significant",1.11819711720047e-08,4.62029532256025e-08
"278",0.63829003338095,0.579099788913662,0.69356113921773,0.666956044988022,0.528437774812228,0.781601789277303,0.616883849467531,-1,9,1.98,1.91,1.31,2.99,0.552,0.544,0.421,0.732,3.75,3.53,1.8,6.94,65,0.0286660116070717,"PDLIM1","<70%",2.06487186805449e-07,6.79657825044377e-07
"279",0.914893613179032,0.794211874865587,0.967682909743371,0.322580645233704,0.18317637123586,0.502774731550966,1.34234403513468e-13,NA,3,1.37,1.34,1.07,1.84,0.307,0.267,0.0909,0.753,6.31,5.11,1.44,18.2,NA,0.592312967945327,"ALDH16A1","Not significant",5.09217662020851e-06,1.30461833726186e-05
"280",0.538461538461484,0.403461932159179,0.668046365976542,0.75,0.5852156825559,0.864479278194178,7.70914782145359e-10,NA,3,2.28,2.14,1.2,4.12,0.628,0.62,0.43,0.877,3.92,3.5,1.38,8.88,NA,0.211538461538516,"SERPINH1","Not significant",0.0145961915092644,0.0174974098215997
