"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","entrez_id","prot_id"
37.1565713719608,37.0816167166667,0.338352441638202,0.262921093438562,102,27,"P02679;C9JC84","FGG","ENSG00000171557",2266,"ENSP00000384860"
22.4277729483333,21.7494891914815,2.07316159996662,2.31720025260245,102,27,"P02730;P02730-2;A0A0A0MS98","SLC4A1","ENSG00000004939",6521,"ENSP00000382190"
32.2996362562745,31.8139732340741,0.497908128367295,0.436308888623369,102,27,"P02743","APCS","ENSG00000132703",325,"ENSP00000255040"
29.636701244902,29.7398836566667,0.415840545156651,0.34913520648622,102,27,"P02745;X6RLJ0","C1QA","ENSG00000173372",712,"ENSP00000363773"
31.2378847534314,31.2922481166667,0.467657822006861,0.328835895111933,102,27,"P02747","C1QC","ENSG00000159189",714,"ENSP00000363771"
32.9770028534314,32.54361794,0.398649010324812,0.617892620901429,102,27,"P02748","C9","ENSG00000113600",735,"ENSP00000263408"
33.0646001067647,33.4670932388889,0.45410251776276,0.429705753468778,102,27,"P02749","APOH","ENSG00000091583",350,"ENSP00000205948"
32.6304683540196,32.6028620914815,0.717446547947458,0.693739835435423,102,27,"P02750","LRG1","ENSG00000171236",116844,"ENSP00000302621"
34.0597448265686,33.8403415103704,0.911386220243989,0.751512941331892,102,27,"P02751;P02751-3;P02751-8;P02751-15;P02751-14;P02751-7;P02751-17;P02751-9;P02751-6;P02751-12;P02751-4","FN1","ENSG00000115414",2335,"ENSP00000394423"
32.543873464902,32.5273861281482,0.493302032568691,0.545891181504291,102,27,"P02760;S4R471","AMBP","ENSG00000106927",259,"ENSP00000265132"
35.1377475351961,34.8318158988889,0.404038064310551,0.398645548100435,102,27,"P02763","ORM1","ENSG00000229314",5004,"ENSP00000259396"
32.6888408308824,33.3708441922222,0.643365951109883,0.552735805858011,102,27,"P02765;C9JV77","AHSG","ENSG00000145192",197,"ENSP00000393887"
33.5412758519608,34.3508183140741,0.748132762958616,0.656301184145445,102,27,"P02766;A0A087WT59;A0A087WV45","TTR","ENSG00000118271",7276,"ENSP00000477599"
39.4233411357843,39.8479333937037,0.320145700864603,0.239043369771924,102,27,"P02768;B7WNR0;H0YA55;D6RHD5;P02768-2;C9JKR2","ALB","ENSG00000163631",213,"ENSP00000392541"
34.5943167418627,34.5391941440741,0.316874815266328,0.329767222874265,102,27,"P02774;P02774-3;D6RF35;P02774-2;D6RBJ7","GC","ENSG00000145321",2638,"ENSP00000273951"
29.8970832891176,29.6867303192593,1.02401011318397,0.943819037001222,102,27,"P02775","PPBP","ENSG00000163736",5473,"ENSP00000296028"
25.9521403247059,26.3267992811111,0.803173119968113,0.574644053047911,102,27,"P02786;G3V0E5","TFRC","ENSG00000072274",7037,"ENSP00000414015"
35.4057318488235,35.4929415055556,0.524454717013622,0.674703166590183,102,27,"P02790;Q9BS19","HPX","ENSG00000110169",3263,"ENSP00000265983"
22.6398357022549,20.9681897437037,2.25339729113427,2.61420441945914,102,27,"P02792","FTL","ENSG00000087086",2512,"ENSP00000366525"
24.7405967648039,24.520747087037,0.943787053020593,0.954284970729095,102,27,"P03950","ANG","ENSG00000214274",283,"ENSP00000336762"
27.9291321114706,27.663855442963,0.358304496292586,0.474366234727906,102,27,"P03951;P03951-2","F11","ENSG00000088926",2160,"ENSP00000384957"
34.0405632829412,33.8360481025926,0.433424523779801,0.238131844283815,102,27,"P04003","C4BPA","ENSG00000123838",722,"ENSP00000356037"
32.9642416281373,32.6983430266667,0.455207938227443,0.435336069705032,102,27,"P04004","VTN","ENSG00000109072",7448,"ENSP00000226218"
25.9293791828431,25.6037824918519,1.19698253411277,1.64749069515487,102,27,"P04040","CAT","ENSG00000121691",847,"ENSP00000241052"
26.5102230060784,26.6252833725926,0.975298263502997,1.07262614514816,102,27,"P04075;J3KPS3;H3BQN4;P04075-2;H3BPS8;H3BUH7;H3BR04","ALDOA","ENSG00000149925",226,"ENSP00000456020"
36.3987297970588,36.2521291625926,0.51982287652847,0.323766036455021,102,27,"P04114","APOB","ENSG00000084674",338,"ENSP00000233242"
23.615782830098,23.4965996944444,1.43382167703884,1.73443531752866,102,27,"P04179;P04179-4;P04179-3;P04179-2;F5H4R2;F5GYZ5;F5H3C5","SOD2","ENSG00000112096",6648,"ENSP00000446252"
27.1310894811765,27.0329295411111,0.408134622551325,0.614015716082048,102,27,"P04180;J3QSE5","LCAT","ENSG00000213398",3931,"ENSP00000264005"
31.6297592119608,32.3591302581481,0.546563402808271,0.780706970639318,102,27,"P04196","HRG","ENSG00000113905",3273,"ENSP00000232003"
29.2565725191176,29.5937686259259,0.76279926613835,0.653521865903687,102,27,"P04211","IGLV7-43","ENSG00000278293",NA,"ENSP00000480490"
34.0150445832353,34.0590711751852,0.311189587483057,0.292340937344242,102,27,"P04217;M0R009","A1BG","ENSG00000121410",1,"ENSP00000263100"
30.9574093015686,30.4482151318519,1.11531834529826,1.17090202076263,102,27,"P04275","VWF","ENSG00000110799",7450,"ENSP00000261405"
27.4652866811765,28.0415031674074,0.959442490337433,0.845770136871736,102,27,"P04278;I3L145;P04278-5;P04278-3;P04278-2;P04278-4;A0A0C4DGN2;B4DYU0;I3L1J1;I3L2X4","SHBG","ENSG00000129214",6462,"ENSP00000458875"
26.8263999779412,26.6088971951852,0.936210363699449,0.929924963895655,102,27,"P04430","IGKV1-16","ENSG00000282282",NA,"ENSP00000488377"
28.4359156503922,27.6058383533333,1.32871905771722,0.671407108019737,102,27,"P04432;P01597",NA,NA,NA,NA
31.578577362451,31.2468564711111,0.737058633525131,0.561179724670254,102,27,"P04433;A0A0A0MRZ8","IGKV3D-11","ENSG00000211632",NA,"ENSP00000374812"
23.5057063682353,22.7217252507407,1.59487751873558,1.7973799762709,102,27,"P04792;F8WE04","HSPB1","ENSG00000106211",3315,"ENSP00000248553"
22.920809474902,23.6834448033333,2.8072202679218,4.00784792768119,102,27,"P05062;A0A3B3IS80;A0A087WXX2","ALDOB","ENSG00000136872",229,"ENSP00000497767"
25.1643903839216,25.0045570281481,1.67151532772219,1.50217415731776,102,27,"P05106;H3BM21;P05106-2;P05106-3","ITGB3","ENSG00000259207",3690,"ENSP00000452786"
23.5747723688235,22.0978134988889,2.11611514104674,2.12030666202591,102,27,"P05109","S100A8","ENSG00000143546",6279,"ENSP00000357721"
21.0399064416667,20.823893582963,1.70106542653173,1.93866679979869,102,27,"P05121-2;P05121","SERPINE1","ENSG00000106366",5054,"ENSP00000223095"
26.644500030098,26.7345479492593,1.23362834847373,1.11528566074968,102,27,"P05154;G3V2M1","SERPINA5","ENSG00000188488",5104,"ENSP00000450484"
34.0687691476471,33.90630979,0.305619454336627,0.281887031376948,102,27,"P05155;P05155-3;P05155-2;H9KV48;E9PGN7","SERPING1","ENSG00000149131",710,"ENSP00000384561"
29.1133409337255,29.1377607748148,0.425058646628038,0.4432238249744,102,27,"P05160","F13B","ENSG00000143278",2165,"ENSP00000497116"
