"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
7.57488925,7.45826925,1.34849435225802,0.434306425416897,20,10,"A3KPE2;B0YIW2;P02656","APOC3","ENSG00000110245","ENSP00000410614",345
-2.14365245,-2.43985099,0.942984463714107,1.31813562318644,20,10,"A3RKG7;F5H8B0;B4DPM2;P08709","F7","ENSG00000057593","ENSP00000329546",2155
-4.0609,-3.9271415,1.64643722468196,0.848857549801987,20,10,"A4D2D2;Q15113","PCOLCE","ENSG00000106333","ENSP00000223061",5118
7.14380275,7.76622625,0.768789275781415,0.496541750668855,20,10,"E9KL36;A6XGL1;P02766;A0A087WT59;A6XMH1;A0A087WV45","HEL111;TTR",NA,NA,NA
-2.0062554675,0.1638200865,2.0398849958218,0.92849497503052,20,10,"A6XND1;A6XND0;P17936;B4DP07;B3KVF9;B3KTQ0;B4DN53;Q6ZSD0;H0Y5K2;B3KVY6;B3KTS0;B3KWK7;A6XNC9;B3KRZ1","IGFBP3","ENSG00000146674","ENSP00000477772",3486
-0.5504980875,-0.802570755,2.62998532052082,1.79111130496821,20,10,"Q6FHW3;K7ERG9;A6XNE2;P00746","DF;CFD",NA,NA,NA
0.534095824425,1.070882322,1.29390648058161,0.773358527691774,20,10,"A8K1K1;J3KRP0;Q96KN2;B4E180","CNDP1","ENSG00000150656","ENSP00000351682",84735
-1.87979051,-1.75376975,1.94710967477563,1.32347851150526,20,10,"H0YD13;H0YDW7;H0YCV9;H0Y5E4;B4DN59;A8K309;P16070;E9PKC6;H0YDX6;H0YD17;H0Y2P0","CD44","ENSG00000026508","ENSP00000435377",960
-3.76727015,-3.011367575,1.76191069552987,1.85065651790173,20,10,"G3XAP6;B4DN90;Q53FR6;A8K3I0;P49747;B4DN75","COMP","ENSG00000105664","ENSP00000439156",1311
2.537167475,3.241720345,1.79683538210174,1.56154692639456,20,10,"A8K3K1;P68133;P68032;B7Z6P1;D2JYH4;P63267;P62736;Q13707;B3KW67;Q7Z7J6;A6NL76;B3KUD3;B4DUI8;C9JFL5;F6UVQ4;F6QUT6;B7Z6I1","ACTA1;ACTC1;ACTA2;ACTG2",NA,NA,NA
-3.01399589225,-2.5611832,2.48050056423696,1.0619673684336,20,10,"V9HWF5;A8K486;P62937;B2RE56;F8WE65;C9J5S7;B4DM82;Q71V99","HEL-S-69p;PPIA",NA,NA,NA
2.250776475,2.902612,1.62279368075744,0.460231371378692,20,10,"B2R773;A8K660;Q15848","ADIPOQ","ENSG00000181092","ENSP00000320709",9370
-2.90986725,-3.2789235,0.989028089220442,0.743564939183936,20,10,"B4DWN1;A8K7T4;Q12907;D6RIU4;D6RDX1;D6RBV2","LMAN2","ENSG00000169223","ENSP00000303366",10960
-2.377789075,-2.6807580195,2.11767055482199,2.02702313096069,20,10,"B0YJC6;P22891","PROZ","ENSG00000126231","ENSP00000364697",8858
0.8862087615,-0.3922962265,1.3936567580969,1.69550961861853,20,10,"B2R4C5;P61626;F8VV32;A0A0B4J259","LYZ","ENSG00000090382","ENSP00000261267",4069
-2.145401425,-4.56540975,1.91374376408203,1.01961769275742,20,10,"B2R4M6;P06702","S100A9","ENSG00000163220","ENSP00000357727",6280
-1.4647657175,-4.45926125,2.87337842739451,0.591549708321815,20,10,"Q0VAS5;B2R4R0;P62805;Q6B823","HIST1H4H;HIST1H4A",NA,NA,NA
2.583245525,1.979506665,1.05325106156409,0.75768011188815,20,10,"B2R5G8",NA,NA,NA,NA
2.258556225,0.91631078,1.12891515698113,0.578468218675135,20,10,"B2R888;P08571;F1C4A7;D6RFL4","CD14","ENSG00000170458","ENSP00000385519",929
-1.9634296,-0.7798694,2.86438091419393,3.14437314060432,20,10,"B2R950;P20742","PZP","ENSG00000126838","ENSP00000261336",5858
0.626045305825,-0.627226755,1.73912982241492,1.03994498107535,20,10,"B2RA39;Q9BXR6;Q05CF5","CFHR5","ENSG00000134389","ENSP00000256785",81494
6.277471,5.78344175,0.951140313396172,0.500926774336621,20,10,"B2RMS9;Q14624;B7Z544;H7C0L5;Q68DH2;B7Z551;Q59FS1","ITIH4;DKFZp686G21125",NA,NA,NA
-1.68520308475,-4.28879525,2.35476287746398,1.28740385881305,20,10,"B2ZDQ1;X6R8F3;P80188","NGAL;LCN2",NA,NA,NA
4.20575775,4.01929,0.983439066457836,0.526392466638091,20,10,"B3KNX0;P09871;F8WCZ6;A8K2N0;A0A087X232","C1S","ENSG00000182326","ENSP00000385035",716
