"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"F2","F2",0.414096917529264,46.9628186672468,0.84,">=",-0.173988157106345,"maximize_metric",0.31,0.666666666666667,0.75,0.56,0.61375,"COVID19","HC",0.56140350877193,"class","x",NA,8,24,14,11,-0.272520533016965,0.292136422801161,"Neither: 73",0.75,0.56,-0.0170342092452446,0.603673301460239,3.98051948051948,4.31835938281654,0.847557280987137,1.08487331966354,0.346521575237358,-0.272520533016965,"Neither: 60","(-0.8,0.8]"
"SERPINA3","SERPINA3",4.26538987071553,70.383695185092,0.47,">=",-0.105276293569018,"maximize_metric",0.835,0.912280701754386,0.875,0.96,0.94125,"COVID19","HC",0.56140350877193,"class","x",NA,4,28,24,1,-1.74674712178173,-0.0927093981042675,"Specificity: 30",0.875,0.96,-1.45041398607206,0.172090363117234,13.34375,4.57915106757679,0.268100179600515,0.343168229888659,-2.68171883163316,-1.74674712178173,"FN: 64","(-Inf,-0.8]"
"HP","HP",0.864144084124255,213.891863699351,0.75,">=",-0.212539809506504,"maximize_metric",0.4875,0.736842105263158,0.6875,0.8,0.67375,"COVID19","HC",0.56140350877193,"class","x",NA,10,22,20,5,-0.631116189743529,-0.151549898127201,"Neither: 73",0.6875,0.8,-0.928148995182813,0.364235564079083,5.3125,4.02524403125815,0.59194765165561,0.75769299411918,-0.989293286768228,-0.631116189743529,"FN: 64","(-0.8,0.8]"
"KLKB1","KLKB1",0.941503692475228,15.8964469307095,1.17,">=",0.185853510510133,"maximize_metric",0.22,0.596491228070175,0.5,0.72,0.625,"COVID19","HC",0.56140350877193,"class","x",NA,16,16,18,7,1.04233020831377,-0.364643113587909,"Sensitivity: 28",0.5,0.72,-1.21671146511429,0.406489302256797,5.33134920634921,4.27676289483808,0.626712091493299,0.802191477111422,-0.807614468462627,1.04233020831377,"FN: 64","(0.8, Inf]"
"CLU","CLU",0.937690232823939,15.5825879667849,0.82,">=",-0.217430586162844,"maximize_metric",0.2475,0.631578947368421,0.6875,0.56,0.64625,"COVID19","HC",0.56140350877193,"class","x",NA,10,22,14,11,-0.352208456733979,0.205125045811531,"Neither: 73",0.6875,0.56,0.010981771701211,0.595404220599192,3.97077922077922,4.2937067574618,0.844785926830945,1.08132598634361,0.332038489919311,-0.352208456733979,"Neither: 60","(-0.8,0.8]"
"ITIH4","ITIH4",2.09899977436272,117.019189987595,0.79,"<=",-0.204761939530518,"maximize_metric",0.4475,0.719298245614035,0.6875,0.76,0.72375,"COVID19","HC",0.56140350877193,"class","x",NA,10,22,19,6,-0.4717403423095,-0.10025660373965,"Neither: 73",0.6875,0.76,-0.795353337656585,0.40745476126874,4.88377192982456,3.98090372901036,0.636819467202488,0.815128918019184,-0.75479336495601,-0.4717403423095,"Neither: 60","(-0.8,0.8]"
"CP","CP",0.498162125043286,33.9938449540646,0.89,">=",-0.134459981196805,"maximize_metric",0.23875,0.631578947368421,0.71875,0.52,0.5975,"COVID19","HC",0.56140350877193,"class","x",NA,9,23,13,12,-0.073300723724429,0.323684780536087,"Neither: 73",0.71875,0.52,0.0726258130000186,0.632668491785985,3.98878205128205,4.42853348118977,0.867380503045406,1.11024704389812,0.450117651439665,-0.073300723724429,"Neither: 60","(-0.8,0.8]"
"APOH","APOH",0.362997039419415,25.0881557343232,0.88,"<=",0.145905155957056,"maximize_metric",0.23,0.631578947368421,0.75,0.48,0.5625,"COVID19","HC",0.56140350877193,"class","x",NA,8,24,12,13,-0.113144685582936,0.44628710262842,"Neither: 73",0.75,0.48,0.24659018477196,0.667634372066099,4.02564102564103,4.68786959178365,0.909767685507377,1.16450263744944,0.671632891062366,-0.113144685582936,"Neither: 60","(-0.8,0.8]"
"APOL1","APOL1",0.466375851480497,28.1912837258701,1,"<=",-0.0485941335105807,"maximize_metric",0.31,0.666666666666667,0.75,0.56,0.6,"COVID19","HC",0.56140350877193,"class","x",NA,8,24,14,11,0.36498285671915,0.292136422801161,"Neither: 73",0.75,0.56,-0.241162056816888,0.604799701433878,4.05844155844156,4.18380243050652,0.805381967872505,1.03088891887681,0.126113563944507,0.36498285671915,"Neither: 60","(-0.8,0.8]"
"SERPINA1","SERPINA1",0.610548200784272,103.175005824762,0.74,"<=",-0.125298293657356,"maximize_metric",0.145,0.578947368421053,0.625,0.52,0.49125,"COVID19","HC",0.56140350877193,"class","x",NA,12,20,13,12,-0.670960151602036,0.183922838160928,"Neither: 73",0.625,0.52,0.280810159373048,0.618745450563862,3.96474358974359,4.5008469853105,0.886888805714983,1.13521767131518,0.55206796022371,-0.670960151602036,"Neither: 60","(-0.8,0.8]"
"APOE","APOE",0.612351632559652,30.5735645137979,0.59,">=",0.183000250827767,"maximize_metric",0.26875,0.614035087719298,0.46875,0.8,0.60375,"COVID19","HC",0.56140350877193,"class","x",NA,17,15,20,5,-1.26861957947964,-0.534542150383307,"Specificity: 30",0.46875,0.8,-0.634935960983084,0.347689796710173,4.7125,3.85846319288075,0.639665648687127,0.818772030319522,-0.739919232330064,-1.26861957947964,"Neither: 60","(-Inf,-0.8]"
"FN1","FN1",0.652102882508119,27.8617258420726,0.99,"<=",-0.236770744085269,"maximize_metric",0.3675,0.684210526315789,0.6875,0.68,0.6375,"COVID19","HC",0.56140350877193,"class","x",NA,10,22,17,8,0.325138894860642,0.0109690313705739,"Neither: 73",0.6875,0.68,-0.738520834736377,0.482960382990607,4.57904411764706,4.00328622400595,0.683017521157177,0.874262427081187,-0.513362526728984,0.325138894860642,"Neither: 60","(-0.8,0.8]"
"AHSG","AHSG",6.752797754397,228.330955366439,1.03,"<=",-0.378509089434481,"maximize_metric",0.835,0.912280701754386,0.875,0.96,0.96625,"COVID19","HC",0.56140350877193,"class","x",NA,4,28,24,1,0.484514742294671,-0.0927093981042675,"Neither: 73",0.875,0.96,-3.2758447649296,0.0920298534005888,26.7604166666666,12.2603374988635,0.357931223205434,0.458151965702955,-2.21226217058818,0.484514742294671,"FN: 64","(-0.8,0.8]"
"C4BPA","C4BPA",7.02757628073366,201.561039651844,1.03,">=",0.00901526160782701,"maximize_metric",0.86625,0.929824561403509,0.90625,0.96,0.97375,"COVID19","HC",0.56140350877193,"class","x",NA,3,29,24,1,0.484514742294671,-0.0576180782929973,"Neither: 73",0.90625,0.96,-3.2758447649296,0.0934708907194779,26.7604166666666,12.0894887460844,0.352943423883352,0.45176758257069,-2.23832838914405,0.484514742294671,"FN: 64","(-0.8,0.8]"
"A1BG","A1BG",0.927779445657105,39.4704217932646,1.5,">=",-0.42494714388268,"maximize_metric",0.28375,0.666666666666667,0.84375,0.44,0.6375,"COVID19","HC",0.56140350877193,"class","x",NA,5,27,11,14,2.35718094964451,0.651081515274433,"Sensitivity: 28",0.84375,0.44,-0.459237466844498,0.736334082350299,3.81493506493506,3.93345793877116,0.805521971503668,1.03106812352469,0.126845222339893,2.35718094964451,"Neither: 60","(0.8, Inf]"
"CFH","CFH",1.13179919817273,49.7795211432781,0.55,"<=",-0.373262574817493,"maximize_metric",0.26875,0.614035087719298,0.46875,0.8,0.62875,"COVID19","HC",0.56140350877193,"class","x",NA,17,15,20,5,-1.42799542691367,-0.534542150383307,"Specificity: 30",0.46875,0.8,-0.561632702433151,0.351359815708503,4.5625,3.80079274231242,0.650820675053497,0.833050464068475,-0.681623110837184,-1.42799542691367,"Neither: 60","(-Inf,-0.8]"
"ITIH1","ITIH1",1.21669615746395,41.4715135441052,1.53,"<=",0.319625937677948,"maximize_metric",0.34625,0.701754385964912,0.90625,0.44,0.68875,"COVID19","HC",0.56140350877193,"class","x",NA,3,29,11,14,2.47671283522003,0.722540479256578,"Sensitivity: 28",0.90625,0.44,-0.501261438264181,0.747211671225016,3.80032467532468,3.906875609326,0.803154159328551,1.02803732394055,0.114471045740092,2.47671283522003,"Neither: 60","(0.8, Inf]"
"SERPINF1","SERPINF1",0.725762640570931,22.2154856190388,0.88,">=",0.109533412864265,"maximize_metric",0.24625,0.596491228070175,0.40625,0.84,0.605,"COVID19","HC",0.56140350877193,"class","x",NA,19,13,21,4,-0.113144685582936,-0.726433158193412,"Neither: 73",0.40625,0.84,-1.41739589449636,0.265604530358589,6.83333333333333,4.83826037264173,0.553154768213613,0.708038103313424,-1.19202473463031,-0.113144685582936,"FN: 64","(-0.8,0.8]"
"HBB","HBB",0.346471902493587,65.4679913579874,0.92,">=",-0.30973612840947,"maximize_metric",0.2925,0.666666666666667,0.8125,0.48,0.54375,"COVID19","HC",0.56140350877193,"class","x",NA,6,26,12,13,0.0462311618510926,0.526329810301956,"Neither: 73",0.8125,0.48,0.191074359072486,0.676171576112369,4.01923076923077,4.69570086514113,0.912740897829467,1.16830834922172,0.687170886317602,0.0462311618510926,"Neither: 60","(-0.8,0.8]"
"C8A","C8A",0.172422945824825,39.7099222935161,1.14,">=",-0.142194937139098,"maximize_metric",0.30125,0.666666666666667,0.78125,0.52,0.5825,"COVID19","HC",0.56140350877193,"class","x",NA,7,25,13,12,0.922798322738249,0.407066389475138,"Sensitivity: 28",0.78125,0.52,-0.274348097621697,0.645373677326416,4.02884615384615,4.19150638361944,0.812792108995416,1.04037389951413,0.164838930697826,0.922798322738249,"Neither: 60","(0.8, Inf]"
"APOA4","APOA4",2.77977654362679,109.46858212383,1.14,"<=",0.0691286573308974,"maximize_metric",0.51875,0.754385964912281,0.71875,0.8,0.8,"COVID19","HC",0.56140350877193,"class","x",NA,9,23,20,5,0.922798322738249,-0.107098135556367,"Sensitivity: 28",0.71875,0.8,-1.64285576604465,0.336579980662191,6.775,4.68332371889675,0.54005116684695,0.691265493564096,-1.26050410098736,0.922798322738249,"FN: 64","(0.8, Inf]"
"IGL@","IGL@",1.3512040025837,44.2602291146622,1.15,"<=",-0.0801052376311095,"maximize_metric",0.34125,0.684210526315789,0.78125,0.56,0.65625,"COVID19","HC",0.56140350877193,"class","x",NA,7,25,14,11,0.962642284596756,0.332958417321416,"Sensitivity: 28",0.78125,0.56,-0.451281913915304,0.610246522363953,4.13149350649351,4.0653500390495,0.768742517207298,0.983990422025341,-0.0653640531636653,0.962642284596756,"Neither: 60","(0.8, Inf]"
"APOA2","APOA2",1.36162987600475,54.6489395035597,1.13,"<=",0.05621176034655,"maximize_metric",0.30125,0.666666666666667,0.78125,0.52,0.65,"COVID19","HC",0.56140350877193,"class","x",NA,7,25,13,12,0.882954360879742,0.407066389475138,"Sensitivity: 28",0.78125,0.52,-0.260469141196829,0.645167384739354,4.02724358974359,4.20334374782794,0.81541188900363,1.04372721792465,0.178529890147629,0.882954360879742,"Neither: 60","(0.8, Inf]"
